1.jpg: uiqm=0.4691657726227666, uciqe=0.544988430158474
10.jpg: uiqm=0.4781788159234839, uciqe=0.5413497097488398
100.jpg: uiqm=0.48110261460864767, uciqe=0.5293005175429644
101.jpg: uiqm=0.47029365809794554, uciqe=0.5429744177377083
102.jpg: uiqm=0.47298089324953196, uciqe=0.557586667763852
103.jpg: uiqm=0.5187277709688548, uciqe=0.5547693046722257
104.jpg: uiqm=0.5966889607478943, uciqe=0.554950964267522
105.jpg: uiqm=0.5311208435423258, uciqe=0.5382104842279508
106.jpg: uiqm=0.6135874089893836, uciqe=0.5310062236234868
107.jpg: uiqm=0.540644662759907, uciqe=0.5304890042813537
108.jpg: uiqm=0.4813750475842, uciqe=0.5562888441129447
109.jpg: uiqm=0.5162952691270438, uciqe=0.5570247541746752
11.jpg: uiqm=0.45240163165533087, uciqe=0.5426052380620732
110.jpg: uiqm=0.6712591402329313, uciqe=0.5580000744115267
111.jpg: uiqm=0.5291684286928728, uciqe=0.5572185210824954
112.jpg: uiqm=0.5311559142827104, uciqe=0.5592749563570165
113.jpg: uiqm=0.572991593986685, uciqe=0.5607054242396906
114.jpg: uiqm=0.6259865852615166, uciqe=0.551696968217533
115.jpg: uiqm=0.5440700431156567, uciqe=0.5451412840033513
116.jpg: uiqm=0.49775776979954156, uciqe=0.5138276707214843
117.jpg: uiqm=0.5251863805686835, uciqe=0.5156174215236454
118.jpg: uiqm=0.4432123266702952, uciqe=0.5380151539831735
119.jpg: uiqm=0.3702827016264375, uciqe=0.5368112727384367
12.jpg: uiqm=0.510081372453983, uciqe=0.5424880694872244
120.jpg: uiqm=0.4005533902529128, uciqe=0.5590498953542962
121.jpg: uiqm=0.5936844472894849, uciqe=0.5604916285033452
122.jpg: uiqm=0.5615687536039426, uciqe=0.560843261841907
123.jpg: uiqm=0.36681824504099625, uciqe=0.5409415831990647
124.jpg: uiqm=0.4217512182683846, uciqe=0.5503001559862278
125.jpg: uiqm=0.4700849484174089, uciqe=0.5552737776130177
126.jpg: uiqm=0.37210282422552166, uciqe=0.5540526116500197
127.jpg: uiqm=0.4584660184566727, uciqe=0.537613257298695
128.jpg: uiqm=0.5431030838609083, uciqe=0.554583445994361
129.jpg: uiqm=0.4573125865301302, uciqe=0.549672199502358
13.jpg: uiqm=0.4191822478228199, uciqe=0.5393740100484228
130.jpg: uiqm=0.41315925301604806, uciqe=0.5582489728190241
131.jpg: uiqm=0.4602688051577619, uciqe=0.5623975007893913
132.jpg: uiqm=0.5723553019481451, uciqe=0.5572792329694622
133.jpg: uiqm=0.0714864406637512, uciqe=0.5345946591670921
134.jpg: uiqm=0.5375188795351096, uciqe=0.5522063828113787
135.jpg: uiqm=0.5722389674365611, uciqe=0.525741021424155
136.jpg: uiqm=0.6221558334648895, uciqe=0.5483914463879315
137.jpg: uiqm=0.4900781282023897, uciqe=0.5519878874950019
138.jpg: uiqm=0.505678267946545, uciqe=0.5392427934245596
139.jpg: uiqm=0.08371149627301122, uciqe=0.5262847560826008
14.jpg: uiqm=0.29591636381703124, uciqe=0.5368327164887089
140.jpg: uiqm=0.3915872267241871, uciqe=0.5309393319924586
141.jpg: uiqm=1.0505670956975734, uciqe=0.5671023993916428
142.jpg: uiqm=0.2890472491968715, uciqe=0.531979742020014
143.jpg: uiqm=0.5054646907681013, uciqe=0.5437335852534716
144.jpg: uiqm=0.5127540761938388, uciqe=0.544986443036866
145.jpg: uiqm=0.6012549255141224, uciqe=0.5394721569480522
146.jpg: uiqm=0.45810775123141234, uciqe=0.5267334938465009
147.jpg: uiqm=0.4618058040935539, uciqe=0.5263512209813745
148.jpg: uiqm=1.0284509938191502, uciqe=0.5673402745805687
149.jpg: uiqm=0.4193329064723915, uciqe=0.5041554368993287
15.jpg: uiqm=0.16831052631171872, uciqe=0.5347150582277709
150.jpg: uiqm=0.396980613772007, uciqe=0.5096394638237786
151.jpg: uiqm=1.0232969497266478, uciqe=0.5666821289645987
