104_img_.png: NIQE=27.37836986162667  with dealing time: 61.64797496795654
10_img_.png: NIQE=21.674047621509978  with dealing time: 55.31434345245361
111_img_.png: NIQE=36.97543694070877  with dealing time: 56.564698696136475
112_img_.png: NIQE=25.46014711210458  with dealing time: 59.093453884124756
11_img_.png: NIQE=18.147670636644893  with dealing time: 56.213356018066406
13_img_.png: NIQE=18.820491142976948  with dealing time: 54.26800894737244
14_img_.png: NIQE=38.24492803389969  with dealing time: 57.102474212646484
15003.png: NIQE=25.710926206143057  with dealing time: 54.97323250770569
150_img_.png: NIQE=18.896400652153478  with dealing time: 52.72521090507507
15544.png: NIQE=26.194877623909083  with dealing time: 55.66895866394043
15_img_.png: NIQE=22.925570235348992  with dealing time: 55.42512369155884
169_img_.png: NIQE=23.434732989018432  with dealing time: 51.912391662597656
16_img_.png: NIQE=20.086479035289788  with dealing time: 54.55367612838745
17_img_.png: NIQE=20.59233746886731  with dealing time: 52.277119874954224
18_img_.png: NIQE=17.50003207430113  with dealing time: 52.76705074310303
19_img_.png: NIQE=15.58047404976503  with dealing time: 54.56137824058533
20.png: NIQE=18.320171478333773  with dealing time: 53.23842740058899
22_img_.png: NIQE=22.559900542263087  with dealing time: 55.2269721031189
23_img_.png: NIQE=18.95193593788505  with dealing time: 55.494778871536255
24_img_.png: NIQE=34.709280640876436  with dealing time: 56.85367178916931
282_img_.png: NIQE=38.94165697276824  with dealing time: 52.08579063415527
284_img_.png: NIQE=40.28499353679974  with dealing time: 53.63410186767578
288_img_.png: NIQE=41.96018926024993  with dealing time: 53.17135524749756
290_img_.png: NIQE=42.01638365937295  with dealing time: 54.462226152420044
292_img_.png: NIQE=40.40694821997829  with dealing time: 56.411980867385864
293_img_.png: NIQE=41.22017450708744  with dealing time: 54.661614418029785
294_img_.png: NIQE=40.75598087777226  with dealing time: 55.55335354804993
295_img_.png: NIQE=39.514353409934515  with dealing time: 54.71203351020813
299_img_.png: NIQE=45.49623518499149  with dealing time: 56.93563771247864
2_img_.png: NIQE=17.27782000897204  with dealing time: 54.76457500457764
300_img_.png: NIQE=42.781340034388926  with dealing time: 53.907408475875854
301_img_.png: NIQE=44.576208736251075  with dealing time: 54.418904066085815
302_img_.png: NIQE=44.59496469787577  with dealing time: 55.470226526260376
303_img_.png: NIQE=43.9761370323541  with dealing time: 56.54663062095642
304_img_.png: NIQE=44.824619406392415  with dealing time: 51.74341630935669
305_img_.png: NIQE=43.75630201240266  with dealing time: 55.16262173652649
306_img_.png: NIQE=38.02294491218054  with dealing time: 53.69450879096985
307_img_.png: NIQE=40.581321487323855  with dealing time: 52.367616176605225
30_img_.png: NIQE=17.90461742577446  with dealing time: 53.79714918136597
311_img_.png: NIQE=45.03908707052374  with dealing time: 49.594114542007446
312_img_.png: NIQE=37.482786021326014  with dealing time: 53.55239653587341
313_img_.png: NIQE=39.6157165312976  with dealing time: 53.117920875549316
314_img_.png: NIQE=44.68769835300147  with dealing time: 53.303175926208496
315_img_.png: NIQE=38.075676081132144  with dealing time: 53.27359461784363
316_img_.png: NIQE=40.532010912498535  with dealing time: 52.65213871002197
317_img_.png: NIQE=40.11149736681271  with dealing time: 51.507344484329224
318_img_.png: NIQE=41.47908227045952  with dealing time: 50.38880658149719
319_img_.png: NIQE=40.246029815684395  with dealing time: 50.12126064300537
