476_img_.png: NIQE=48.43760706296896  with dealing time: 46.02813005447388
48_img_.png: NIQE=36.58443923957077  with dealing time: 55.21800661087036
495_img_.png: NIQE=50.52360143333652  with dealing time: 43.98038959503174
4_img_.png: NIQE=35.78912954353541  with dealing time: 48.63523817062378
550_img_.png: NIQE=44.572851136642726  with dealing time: 47.58569836616516
557.png: NIQE=42.083023381264866  with dealing time: 47.179210901260376
55_img_.png: NIQE=40.766933736558734  with dealing time: 46.94761395454407
61_img_.png: NIQE=37.9096454832881  with dealing time: 48.226454973220825
629_img_.png: NIQE=43.50841039742841  with dealing time: 43.769742488861084
70_img_.png: NIQE=38.54087512188534  with dealing time: 47.735079526901245
747_img_.png: NIQE=42.988877901905866  with dealing time: 46.49600887298584
7_img_.png: NIQE=34.00225193743044  with dealing time: 49.45968174934387
849_img_.png: NIQE=36.3182648167671  with dealing time: 47.11401438713074
856_img_.png: NIQE=37.39824257516871  with dealing time: 47.86051893234253
8_img_.png: NIQE=43.30712206205249  with dealing time: 45.08756446838379
901_img_.png: NIQE=55.62731166656458  with dealing time: 44.47942042350769
906_img_.png: NIQE=58.621142463978835  with dealing time: 58.454028844833374
97_img_.png: NIQE=40.210857140549166  with dealing time: 45.85282635688782
9_img_.png: NIQE=38.4908085925949  with dealing time: 46.52621865272522

110 Image Average: NIQE=42.362915640263296, TimePerImage=48.357192104513, SumTime = 5319.291131496429s

